year,age,sex,value
2001,0,male,0.007857
2001,1,male,0.000628
2001,2,male,0.000432
2001,3,male,0.000371
2001,4,male,0.000274
2001,5,male,8.0e-5
2001,6,male,0.000165
2001,7,male,0.000167
2001,8,male,0.000284
2001,9,male,0.000335
2001,10,male,0.000154
2001,11,male,7.9e-5
2001,12,male,0.000115
2001,13,male,0.000225
2001,14,male,0.00057
2001,15,male,0.000445
2001,16,male,0.000667
2001,17,male,0.000831
2001,18,male,0.001047
2001,19,male,0.001107
2001,20,male,0.000883
2001,21,male,0.00147
2001,22,male,0.001048
2001,23,male,0.00164
2001,24,male,0.001467
2001,25,male,0.001407
2001,26,male,0.001062
2001,27,male,0.001219
2001,28,male,0.001107
2001,29,male,0.000988
2001,30,male,0.000993
2001,31,male,0.001231
2001,32,male,0.001388
2001,33,male,0.001418
2001,34,male,0.001196
2001,35,male,0.002232
2001,36,male,0.001904
2001,37,male,0.001895
2001,38,male,0.002089
2001,39,male,0.00245
2001,40,male,0.00274
2001,41,male,0.00319
2001,42,male,0.003638
2001,43,male,0.004031
2001,44,male,0.004388
2001,45,male,0.005004
2001,46,male,0.005452
2001,47,male,0.006161
2001,48,male,0.005994
2001,49,male,0.007467
2001,50,male,0.007477
2001,51,male,0.0083
2001,52,male,0.010121
2001,53,male,0.010777
2001,54,male,0.012247
2001,55,male,0.01133
2001,56,male,0.013617
2001,57,male,0.014748
2001,58,male,0.016458
2001,59,male,0.014816
2001,60,male,0.019366
2001,61,male,0.019956
2001,62,male,0.021759
2001,63,male,0.023705
2001,64,male,0.027186
2001,65,male,0.028212
2001,66,male,0.030815
2001,67,male,0.034704
2001,68,male,0.038538
2001,69,male,0.042189
2001,70,male,0.045907
2001,71,male,0.050981
2001,72,male,0.053239
2001,73,male,0.057382
2001,74,male,0.064454
2001,75,male,0.066629
2001,76,male,0.07737
2001,77,male,0.073987
2001,78,male,0.086169
2001,79,male,0.10026
2001,80,male,0.109271
2001,81,male,0.130312
2001,82,male,0.10701
2001,83,male,0.12185
2001,84,male,0.159005
2001,85,male,0.157851
2001,86,male,0.187621
2001,87,male,0.191409
2001,88,male,0.221015
2001,89,male,0.222089
2001,90,male,0.255476
2001,91,male,0.303103
2001,92,male,0.31018
2001,93,male,0.384099
2001,94,male,0.437217
2001,95,male,0.298446
2001,96,male,0.446027
2001,97,male,0.31866
2001,98,male,0.627688
2001,99,male,0.515963
2001,100,male,0.387097
2001,101,male,0.84
2001,102,male,0.315789
2001,103,male,2.0
2001,104,male,0.0
2001,105,male,0.0
2001,106,male,0.0
2001,107,male,0.0
2001,108,male,0.0
2001,109,male,0.0
2001,110,male,0.0
2002,0,male,0.007796
2002,1,male,0.000701
2002,2,male,0.000312
2002,3,male,0.000172
